date,pe
2011-06-30,55.17
2011-07-08,71.68
2011-07-16,64.62
2011-07-24,63.73
2011-08-01,63.1
2011-08-09,57.33
2011-08-17,60.24
2011-08-25,161.84
2011-09-02,150.06
2011-09-10,140.52
2011-09-18,129.61
2011-09-26,119.7
2011-10-04,120.32
2011-10-12,115.96
2011-10-20,118.14
2011-10-28,135.54
2011-11-05,132.88
2011-11-13,123.64
2011-11-21,135.05
2011-11-29,132.61
2011-12-07,119.56
2011-12-15,109.05
2011-12-23,116.43
2011-12-31,120.99
2012-01-08,116.11
2012-01-16,124.97
2012-01-24,129.05
2012-02-01,124.6
2012-02-09,139.14
2012-02-17,138.45
2012-02-25,140.73
2012-03-04,43.88
2012-03-12,45.49
2012-03-20,43.56
2012-03-28,44.63
2012-04-05,49.19
2012-04-13,52.45
2012-04-21,47.25
2012-04-29,52.97
2012-05-07,55.06
2012-05-15,49.76
2012-05-23,50.97
2012-05-31,50.58
2012-06-08,46.9
2012-06-16,47.56
2012-06-24,46.72
2012-07-02,41.68
2012-07-10,39.21
2012-07-18,35.32
2012-07-26,31.46
2012-08-03,29.63
2012-08-11,31.73
2012-08-19,29.9
2012-08-27,31.01
2012-09-04,32.61
2012-09-12,35.1
2012-09-20,32.61
2012-09-28,29.95
2012-10-06,29.95
2012-10-14,31.65
2012-10-22,32.15
2012-10-30,31.71
2012-11-07,36.45
2012-11-15,35.78
2012-11-23,36.85
2012-12-01,34.5
2012-12-09,36.76
2012-12-17,37.83
2012-12-25,43.45
2013-01-02,45.5
2013-01-10,48.81
2013-01-18,53.58
2013-01-26,50.22
2013-02-03,52.77
2013-02-11,56.86
2013-02-19,58.47
2013-02-27,55.68
2013-03-07,691.39
2013-03-15,679.18
2013-03-23,680.06
2013-03-31,638.45
2013-04-08,618.2
2013-04-16,608.07
2013-04-24,705.27
2013-05-02,347.35
2013-05-10,479.79
2013-05-18,513.96
2013-05-26,494.19
2013-06-03,495.89
2013-06-11,464.54
2013-06-19,489.81
2013-06-27,417.52
2013-07-05,523.7
2013-07-13,503.65
2013-07-21,498.57
2013-07-29,481.06
2013-08-06,519.47
2013-08-14,503.93
2013-08-22,497.86
2013-08-30,152.0
2013-09-07,174.72
2013-09-15,193.86
2013-09-23,198.79
2013-10-01,188.31
2013-10-09,195.2
2013-10-17,181.09
2013-10-25,195.92
2013-11-02,170.51
2013-11-10,157.17
2013-11-18,163.39
2013-11-26,165.72
2013-12-04,161.38
2013-12-12,171.72
2013-12-20,163.7
2013-12-28,165.54
2014-01-05,172.04
2014-01-13,169.53
2014-01-21,166.44
2014-01-29,178.08
2014-02-06,173.11
2014-02-14,216.91
2014-02-22,209.17
2014-03-02,242.35
2014-03-10,233.15
2014-03-18,226.34
2014-03-26,217.93
2014-04-03,208.36
2014-04-11,211.76
2014-04-19,209.76
2014-04-27,239.97
2014-05-05,237.42
2014-05-13,217.4
2014-05-21,216.25
2014-05-29,240.75
2014-06-06,252.01
2014-06-14,261.47
2014-06-22,254.91
2014-06-30,259.78
2014-07-08,269.3
2014-07-16,257.64
2014-07-24,260.98
2014-08-01,271.81
2014-08-09,281.44
2014-08-17,282.26
2014-08-25,253.65
2014-09-02,260.92
2014-09-10,272.92
2014-09-18,253.85
2014-09-26,248.61
2014-10-04,248.36
2014-10-12,251.76
2014-10-20,245.15
2014-10-28,240.98
2014-11-05,238.89
2014-11-13,222.75
2014-11-21,222.33
2014-11-29,224.82
2014-12-07,225.13
2014-12-15,219.01
2014-12-23,182.56
2014-12-31,198.08
2015-01-08,199.95
2015-01-16,205.46
2015-01-24,208.26
2015-02-01,198.65
2015-02-09,188.11
2015-02-17,261.79
2015-02-25,259.04
2015-03-05,323.34
2015-03-13,282.58
2015-03-21,298.52
2015-03-29,298.8
2015-04-06,350.39
2015-04-14,325.83
2015-04-22,326.97
2015-04-30,273.84
2015-05-08,271.56
2015-05-16,277.58
2015-05-24,346.87
2015-06-01,346.87
2015-06-09,338.38
2015-06-17,323.59
2015-06-25,282.92
2015-07-03,226.15
2015-07-11,246.78
2015-07-19,253.53
2015-07-27,228.34
2015-08-04,272.29
2015-08-12,282.92
2015-08-20,248.28
2015-08-28,234.11
2015-09-05,210.2
2015-09-13,242.55
2015-09-21,257.33
2015-09-29,280.33
2015-10-07,275.42
2015-10-15,276.98
2015-10-23,287.71
2015-10-31,82.82
2015-11-08,83.62
2015-11-16,85.77
2015-11-24,79.63
2015-12-02,77.91
2015-12-10,77.05
2015-12-18,78.74
2015-12-26,78.32
2016-01-03,79.49
2016-01-11,71.44
2016-01-19,72.66
2016-01-27,59.47
2016-02-04,63.21
2016-02-12,61.8
2016-02-20,67.01
2016-02-28,45.81
2016-03-07,47.21
2016-03-15,47.64
2016-03-23,50.14
2016-03-31,51.57
2016-04-08,50.6
2016-04-16,51.07
2016-04-24,54.28
2016-05-02,44.4
2016-05-10,40.9
2016-05-18,40.81
2016-05-26,40.95
2016-06-03,41.81
2016-06-11,42.05
2016-06-19,41.26
2016-06-27,41.58
2016-07-05,42.37
2016-07-13,42.46
2016-07-21,43.16
2016-07-29,45.57
2016-08-06,45.12
2016-08-14,45.51
2016-08-22,45.05
2016-08-30,34.55
2016-09-07,34.85
2016-09-15,33.1
2016-09-23,33.67
2016-10-01,32.85
2016-10-09,32.85
2016-10-17,33.55
2016-10-25,33.62
2016-11-02,34.03
2016-11-10,33.36
2016-11-18,33.32
2016-11-26,33.39
2016-12-04,33.0
2016-12-12,30.03
2016-12-20,30.38
2016-12-28,29.72
2017-01-05,30.4
2017-01-13,29.48
2017-01-21,29.28
2017-01-29,29.34
2017-02-06,29.34
2017-02-14,29.86
2017-02-22,30.12
2017-03-02,26.91
2017-03-10,27.15
2017-03-18,26.77
2017-03-26,26.86
2017-04-03,25.93
2017-04-11,28.63
2017-04-19,27.68
2017-04-27,28.13
2017-05-05,27.43
2017-05-13,27.26
2017-05-21,27.55
2017-05-29,27.87
2017-06-06,28.38
2017-06-14,29.28
2017-06-22,28.81
2017-06-30,28.35
2017-07-08,28.76
2017-07-16,28.7
2017-07-24,28.31
2017-08-01,27.84
2017-08-09,27.88
