date,pe
2003-11-20,112.7
2003-12-03,130.99
2003-12-16,136.13
2003-12-29,152.99
2004-01-11,158.14
2004-01-24,156.54
2004-02-06,172.69
2004-02-19,162.05
2004-03-03,154.24
2004-03-16,163.82
2004-03-29,159.74
2004-04-11,49.57
2004-04-24,38.99
2004-05-07,38.31
2004-05-20,37.38
2004-06-02,38.01
2004-06-15,36.95
2004-06-28,35.63
2004-07-11,37.42
2004-07-24,38.27
2004-08-06,27.65
2004-08-19,27.99
2004-09-01,26.38
2004-09-14,26.41
2004-09-27,27.77
2004-10-10,27.25
2004-10-23,27.81
2004-11-05,28.27
2004-11-18,29.11
2004-12-01,28.71
2004-12-14,27.62
2004-12-27,26.97
2005-01-09,27.12
2005-01-22,26.29
2005-02-04,27.62
2005-02-17,27.0
2005-03-02,22.79
2005-03-15,22.66
2005-03-28,22.64
2005-04-10,22.72
2005-04-23,22.19
2005-05-06,22.4
2005-05-19,21.0
2005-06-01,20.73
2005-06-14,21.35
2005-06-27,22.05
2005-07-10,22.38
2005-07-23,23.59
2005-08-05,23.59
2005-08-18,20.56
2005-08-31,21.02
2005-09-13,20.62
2005-09-26,19.97
2005-10-09,19.95
2005-10-22,18.74
2005-11-04,18.19
2005-11-17,17.69
2005-11-30,17.99
2005-12-13,17.99
2005-12-26,17.74
2006-01-08,18.19
2006-01-21,17.34
2006-02-03,16.78
2006-02-16,17.03
2006-03-01,17.16
2006-03-14,16.28
2006-03-27,16.23
2006-04-09,15.82
2006-04-22,16.26
2006-05-05,15.6
2006-05-18,17.62
2006-05-31,16.64
2006-06-13,15.91
2006-06-26,16.11
2006-07-09,16.08
2006-07-22,15.02
2006-08-04,14.73
2006-08-17,15.78
2006-08-30,16.08
2006-09-12,16.01
2006-09-25,16.59
2006-10-08,16.59
2006-10-21,17.04
2006-11-03,18.38
2006-11-16,18.71
2006-11-29,20.1
2006-12-12,20.73
2006-12-25,22.53
2007-01-07,25.82
2007-01-20,25.87
2007-02-02,25.65
2007-02-15,29.48
2007-02-28,27.28
2007-03-13,28.01
